filename,url
ED_Technology_Requirement_Dec2024.pdf,http://www.bnm.gov.my/documents/20124/943361/ED_Technology_Requirement_Dec2024.pdf
pd_Capital_Adequacy_Framework_OR_Feedback+Statement_151223.pdf,https://www.bnm.gov.my/documents/20124/938039/pd_Capital_Adequacy_Framework_OR_Feedback+Statement_151223.pdf
MCIPD_PD_2025.pdf,https://www.bnm.gov.my/documents/20124/938039/MCIPD_PD_2025.pdf
charge_card_and_charge_card-i_PD.pdf,https://www.bnm.gov.my/documents/20124/938039/charge_card_and_charge_card-i_PD.pdf
Appendix+B+-+ORION+User+Guide+%26+Technical+Specifications_2021.pdf,https://www.bnm.gov.my/documents/20124/938039/Appendix+B+-+ORION+User+Guide+%26+Technical+Specifications_2021.pdf
Discussion_Paper_on_Broader_Application_of_Taawun.pdf,https://www.bnm.gov.my/documents/20124/948107/Discussion_Paper_on_Broader_Application_of_Taawun.pdf
CAF_SACR_Feedback_Statement.pdf,https://www.bnm.gov.my/documents/20124/938039/CAF_SACR_Feedback_Statement.pdf
pd_Insurers_Takaful_Operators_Repairers_Code_of_Conduct_dec23.pdf,https://www.bnm.gov.my/documents/20124/938039/pd_Insurers_Takaful_Operators_Repairers_Code_of_Conduct_dec23.pdf
DP_risk_based_capital_framework_instkf_June2021.pdf,https://www.bnm.gov.my/documents/20124/948107/DP_risk_based_capital_framework_instkf_June2021.pdf
ed_Large_Exposures_Limit_Dec2024.pdf,https://www.bnm.gov.my/documents/20124/938039/ed_Large_Exposures_Limit_Dec2024.pdf
dp_operationalresilience_Dec2025.pdf,https://www.bnm.gov.my/documents/20124/938039/dp_operationalresilience_Dec2025.pdf
pd_credit+risk_dec2024.pdf,https://www.bnm.gov.my/documents/20124/938039/pd_credit+risk_dec2024.pdf
GRMO_MSB_pd.pdf,https://www.bnm.gov.my/documents/20124/964944/GRMO_MSB_pd.pdf
PD_Basic_Banking_Services.pdf,https://www.bnm.gov.my/documents/20124/938039/PD_Basic_Banking_Services.pdf
faq-ekyc-apr24.pdf,http://www.bnm.gov.my/documents/20124/938039/faq-ekyc-apr24.pdf
